ファミリーコンピュータ,"hardware,nintendo,home",1983-07-15
スーパーファミコン,"hardware,nintendo,home",1990-11-21
NINTENDO 64,"hardware,nintendo,home",1996-06-23
ゲームキューブ,"hardware,nintendo,home",2001-09-14
Wii,"hardware,nintendo,home",2006-12-02
Wii U,"hardware,nintendo,home",2012-12-08
Nintendo Switch,"hardware,nintendo,home,portable",2017-03-03
Nintendo Switch 2,"hardware,nintendo,home,portable",2025-06-05

FCディスクシステム,"hardware,nintendo,home",1986-02-21
バーチャルボーイ,"hardware,nintendo,home",1995-07-21
スーパーゲームボーイ,"hardware,nintendo,home",1994-06-14
スーパーゲームボーイ2,"hardware,nintendo,home",1998-01-30

ゲームボーイ,"hardware,nintendo,portable",1989-04-21
ゲームボーイカラー,"hardware,nintendo,portable",1998-10-21
ゲームボーイアドバンス,"hardware,nintendo,portable",2001-03-21
ニンテンドーDS,"hardware,nintendo,portable",2004-12-02
ニンテンドー3DS,"hardware,nintendo,portable",2011-02-26

PlayStation,"hardware,sony,home",1994-12-03
PlayStation 2,"hardware,sony,home",2000-03-04
PlayStation 3,"hardware,sony,home",2006-11-11
PlayStation 4,"hardware,sony,home",2014-02-22
PlayStation 5,"hardware,sony,home",2020-11-12

PlayStation Portable,"hardware,sony,portable",2004-12-12
PlayStation Portable go,"hardware,sony,portable",2009-11-01
PlayStation Vita,"hardware,sony,portable",2011-12-17
PlayStation Vita TV,"hardware,sony,home",2013-11-14
PlayStation Portal,"hardware,sony,portable",2023-11-15

PlayStation VR,"hardware,sony,home",2016-10-13
PlayStation VR2,"hardware,sony,home",2023-02-22

メガドライブ,"hardware,sega,home",1988-10-29
セガサターン,"hardware,sega,home",1994-11-22
ドリームキャスト,"hardware,sega,home",1998-11-27
ゲームギア,"hardware,sega,portable",1990-10-06

NEOGEO,"hardware,snk,home",1990-04-26
NEOGEO CD,"hardware,snk,home",1994-09-09
ネオジオポケット,"hardware,snk,portable",1998-10-28
ネオジオポケットカラー,"hardware,snk,portable",1999-03-19

Xbox,"hardware,microsoft,home",2002-02-22
Xbox 360,"hardware,microsoft,home",2005-12-10
Xbox One,"hardware,microsoft,home",2014-09-04
Xbox Series X,"hardware,microsoft,home",2020-11-10
Xbox Series S,"hardware,microsoft,home",2020-11-10

PCエンジン,"hardware,nec,home",1987-10-30
PC-FX,"hardware,nec,home",1994-12-23
3DO,"hardware,3do,home",1994-03-20
ワンダースワン,"hardware,bandai,portable",1999-03-04
ワンダースワンカラー,"hardware,bandai,portable",2000-12-09

スーパーマリオブラザーズ,"software,nintendo,fc",1985-09-13
