ハードウェア,hardware
ソフトウェア,software
ニュース,news
サービス,service
デジタル,digital
音楽,music
映画,film
アニメ,anime

日本,japan
世界,world

任天堂,nintendo
ポケモン,pokemon
ソニー,sony
セガ,sega
SNK,snk
マイクロソフト,microsoft
Apple,apple
グーグル,google
アマゾン,amazon
スクウェア,square
エニックス,enix
スクウェア・エニックス,square-enix
カプコン,capcom
アトラス,atlus
コナミ,konami
バンダイ,bandai
ナムコ,namco
バンダイナムコゲームス,bandai-namco
コーエー,koei
テクモ,tecmo
テクモコーエー,tecmo-koei
タイトー,taito
ADK,adk
アークシステムワークス,arc
NEC,nec
The 3DO Company,3do

据え置き,home
ポータブル,portable
アーケード,arcade
マルチプラットフォーム,multi

ファミリーコンピュータ,fc
